Date,Field,Activity Type,Product,Rate,Rate Unit,Quantity,Quantity Unit,Yield,Yield Unit,Moisture %,Acres,Applicator,Notes
2026-04-21,1-lambert,fertilize,32-0-0,34.1993,lb/ac,32.895,lb,,,,0.962,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-21,1-lambert,fertilize,12-0-0-26 (THIO),4.9627,lb/ac,4.773,lb,,,,0.962,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-21,1-lambert,fertilize,KANZA HUMIC,0.1875,gal/ac,0.18,gal,,,,0.962,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,3-lambert,fertilize,32-0-0,43.0306,lb/ac,2540.346,lb,,,,59.05,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,3-lambert,fertilize,12-0-0-26 (THIO),6.2442,lb/ac,368.63,lb,,,,59.05,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-08,3-lambert,fertilize,KANZA HUMIC,0.236,gal/ac,13.931,gal,,,,59.05,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-22,Davis,fertilize,32-0-0,55.8035,lb/ac,6220.47,lb,,,,111.5,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-22,Davis,fertilize,12-0-0-26 (THIO),8.0977,lb/ac,902.654,lb,,,,111.5,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-22,Davis,fertilize,KANZA HUMIC,0.306,gal/ac,34.112,gal,,,,111.5,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,East-roselake,fertilize,32-0-0,42.3786,lb/ac,5201.013,lb,,,,122.7,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,East-roselake,fertilize,12-0-0-26 (THIO),6.1496,lb/ac,754.72,lb,,,,122.7,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,East-roselake,fertilize,KANZA HUMIC,0.2324,gal/ac,28.521,gal,,,,122.7,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert east,fertilize,32-0-0,29.3094,lb/ac,1126.738,lb,,,,38.44,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert east,fertilize,12-0-0-26 (THIO),4.2531,lb/ac,163.501,lb,,,,38.44,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert east,fertilize,KANZA HUMIC,0.1607,gal/ac,6.179,gal,,,,38.44,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert west,fertilize,32-0-0,28.45,lb/ac,1416.572,lb,,,,49.78,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert west,fertilize,12-0-0-26 (THIO),4.1284,lb/ac,205.559,lb,,,,49.78,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
2026-04-09,Lambert west,fertilize,KANZA HUMIC,0.156,gal/ac,7.768,gal,,,,49.78,,"From AgFiniti PDF, page 7. Reconstructed from generic ""N"" total using the 04/07/26 invoice blend ratio for tickets 229680-013/229681-013 (32-0-0 32% N, THIO 12-0-0-26 at 12% N) -- AgFiniti's own report only logged this event's total nitrogen, not the named products."
